Model,Learning_Rate,Hidden_Size,batch_size,pooling_style,acc,time(预测100条耗时）
bert_lstm,0.001,128,64,avg,0.8707256046705588,106.89415304284347
bert_lstm,0.001,128,64,max,0.8703085904920768,25.744955790670293
bert_lstm,0.001,128,128,avg,0.8840700583819849,56.11227688036467
bert_lstm,0.001,128,128,max,0.890742285237698,56.75856314207378
bert_lstm,0.0001,128,64,avg,0.871976647206005,26.417454920317
bert_lstm,0.0001,128,64,max,0.8748957464553795,27.006278539958753
bert_lstm,0.0001,128,128,avg,0.8761467889908257,58.19660111477501
bert_lstm,0.0001,128,128,max,0.8815679733110926,58.043870173002546
bert,0.001,128,64,avg,0.8978315262718932,16.08914952529104
bert,0.001,128,64,max,0.8586321934945789,16.65950888081601
bert,0.001,128,128,avg,0.8953294412010009,32.81386902457789
bert,0.001,128,128,max,0.8840700583819849,31.858500681425397
bert,0.0001,128,64,avg,0.8957464553794829,16.272774495576556
bert,0.0001,128,64,max,0.9057547956630525,16.964608744571084
bert,0.0001,128,128,avg,0.8732276897414513,31.487927938762464
bert,0.0001,128,128,max,0.8994995829858216,33.26082857031571
lstm,0.001,128,64,avg,0.877814845704754,1.755519289719431
lstm,0.001,128,64,max,0.8844870725604671,1.6481775986520868
lstm,0.001,128,128,avg,0.8653044203502919,3.014641059072394
lstm,0.001,128,128,max,0.8665554628857381,2.66739569212261
lstm,0.0001,128,64,avg,0.6926605504587156,1.5341658341257196
lstm,0.0001,128,64,max,0.7935779816513762,1.6579734651665938
lstm,0.0001,128,128,avg,0.664720600500417,2.692364391527678
lstm,0.0001,128,128,max,0.664720600500417,3.0261968311510588
