model_type learning_rate hidden_size batch_size pooling_style accuracy
lstm 0.001 128 128 avg 0.8590492076730609
lstm 0.001 128 128 max 0.8623853211009175
lstm 0.0001 128 128 avg 0.878231859883236
lstm 0.0001 128 128 max 0.8748957464553795
gru 0.001 128 128 avg 0.8665554628857381
gru 0.001 128 128 max 0.8673894912427023
gru 0.0001 128 128 avg 0.872393661384487
gru 0.0001 128 128 max 0.8773978315262719
rnn 0.001 128 128 avg 0.8715596330275229
rnn 0.001 128 128 max 0.8682235195996664
rnn 0.0001 128 128 avg 0.8523769808173478
rnn 0.0001 128 128 max 0.8607172643869891
bert 0.001 128 128 avg 0.8640533778148457
bert 0.0001 128 128 avg 0.8882402001668057
bert 1e-05 128 128 avg 0.8390325271059216
