,model_path,train_data_path,valid_data_path,vocab_path,model_type,max_length,hidden_size,kernel_size,num_layers,epoch,batch_size,pooling_style,optimizer,learning_rate,pretrain_model_path,seed,class_num,vocab_size,acc
0,output,E:/八斗课程/第七周/train_data.json,E:/八斗课程/第七周/test_data.json,E:/八斗课程/第七周/nn_pipline/chars.txt,gated_cnn,30,128,3,2,10,64,avg,adam,0.001,E:\八斗课程\第六周\bert-base-chinese,987,2,4622,0.890742285237698
1,output,E:/八斗课程/第七周/train_data.json,E:/八斗课程/第七周/test_data.json,E:/八斗课程/第七周/nn_pipline/chars.txt,gated_cnn,30,128,3,2,10,64,max,adam,0.001,E:\八斗课程\第六周\bert-base-chinese,987,2,4622,0.8932443703085905
2,output,E:/八斗课程/第七周/train_data.json,E:/八斗课程/第七周/test_data.json,E:/八斗课程/第七周/nn_pipline/chars.txt,gated_cnn,30,128,3,2,10,128,avg,adam,0.001,E:\八斗课程\第六周\bert-base-chinese,987,2,4622,0.9011676396997498
3,output,E:/八斗课程/第七周/train_data.json,E:/八斗课程/第七周/test_data.json,E:/八斗课程/第七周/nn_pipline/chars.txt,gated_cnn,30,128,3,2,10,128,max,adam,0.001,E:\八斗课程\第六周\bert-base-chinese,987,2,4622,0.8978315262718932
4,output,E:/八斗课程/第七周/train_data.json,E:/八斗课程/第七周/test_data.json,E:/八斗课程/第七周/nn_pipline/chars.txt,gated_cnn,30,128,3,2,10,64,avg,adam,0.0001,E:\八斗课程\第六周\bert-base-chinese,987,2,4622,0.8861551292743953
5,output,E:/八斗课程/第七周/train_data.json,E:/八斗课程/第七周/test_data.json,E:/八斗课程/第七周/nn_pipline/chars.txt,gated_cnn,30,128,3,2,10,64,max,adam,0.0001,E:\八斗课程\第六周\bert-base-chinese,987,2,4622,0.8940783986655546
6,output,E:/八斗课程/第七周/train_data.json,E:/八斗课程/第七周/test_data.json,E:/八斗课程/第七周/nn_pipline/chars.txt,gated_cnn,30,128,3,2,10,128,avg,adam,0.0001,E:\八斗课程\第六周\bert-base-chinese,987,2,4622,0.8611342785654712
7,output,E:/八斗课程/第七周/train_data.json,E:/八斗课程/第七周/test_data.json,E:/八斗课程/第七周/nn_pipline/chars.txt,gated_cnn,30,128,3,2,10,128,max,adam,0.0001,E:\八斗课程\第六周\bert-base-chinese,987,2,4622,0.890742285237698
8,output,E:/八斗课程/第七周/train_data.json,E:/八斗课程/第七周/test_data.json,E:/八斗课程/第七周/nn_pipline/chars.txt,bert,30,128,3,2,10,64,avg,adam,0.001,E:\八斗课程\第六周\bert-base-chinese,987,2,4622,0.8803169307756463
9,output,E:/八斗课程/第七周/train_data.json,E:/八斗课程/第七周/test_data.json,E:/八斗课程/第七周/nn_pipline/chars.txt,bert,30,128,3,2,10,64,max,adam,0.001,E:\八斗课程\第六周\bert-base-chinese,987,2,4622,0.8798999165971643
10,output,E:/八斗课程/第七周/train_data.json,E:/八斗课程/第七周/test_data.json,E:/八斗课程/第七周/nn_pipline/chars.txt,bert,30,128,3,2,10,128,avg,adam,0.001,E:\八斗课程\第六周\bert-base-chinese,987,2,4622,0.8644703919933278
11,output,E:/八斗课程/第七周/train_data.json,E:/八斗课程/第七周/test_data.json,E:/八斗课程/第七周/nn_pipline/chars.txt,bert,30,128,3,2,10,128,max,adam,0.001,E:\八斗课程\第六周\bert-base-chinese,987,2,4622,0.8698915763135947
12,output,E:/八斗课程/第七周/train_data.json,E:/八斗课程/第七周/test_data.json,E:/八斗课程/第七周/nn_pipline/chars.txt,bert,30,128,3,2,10,64,avg,adam,0.0001,E:\八斗课程\第六周\bert-base-chinese,987,2,4622,0.8753127606338615
13,output,E:/八斗课程/第七周/train_data.json,E:/八斗课程/第七周/test_data.json,E:/八斗课程/第七周/nn_pipline/chars.txt,bert,30,128,3,2,10,64,max,adam,0.0001,E:\八斗课程\第六周\bert-base-chinese,987,2,4622,0.8957464553794829
14,output,E:/八斗课程/第七周/train_data.json,E:/八斗课程/第七周/test_data.json,E:/八斗课程/第七周/nn_pipline/chars.txt,bert,30,128,3,2,10,128,avg,adam,0.0001,E:\八斗课程\第六周\bert-base-chinese,987,2,4622,0.8798999165971643
15,output,E:/八斗课程/第七周/train_data.json,E:/八斗课程/第七周/test_data.json,E:/八斗课程/第七周/nn_pipline/chars.txt,bert,30,128,3,2,10,128,max,adam,0.0001,E:\八斗课程\第六周\bert-base-chinese,987,2,4622,0.896163469557965
16,output,E:/八斗课程/第七周/train_data.json,E:/八斗课程/第七周/test_data.json,E:/八斗课程/第七周/nn_pipline/chars.txt,lstm,30,128,3,2,10,64,avg,adam,0.001,E:\八斗课程\第六周\bert-base-chinese,987,2,4622,0.8844870725604671
17,output,E:/八斗课程/第七周/train_data.json,E:/八斗课程/第七周/test_data.json,E:/八斗课程/第七周/nn_pipline/chars.txt,lstm,30,128,3,2,10,64,max,adam,0.001,E:\八斗课程\第六周\bert-base-chinese,987,2,4622,0.8886572143452878
18,output,E:/八斗课程/第七周/train_data.json,E:/八斗课程/第七周/test_data.json,E:/八斗课程/第七周/nn_pipline/chars.txt,lstm,30,128,3,2,10,128,avg,adam,0.001,E:\八斗课程\第六周\bert-base-chinese,987,2,4622,0.8794829024186822
19,output,E:/八斗课程/第七周/train_data.json,E:/八斗课程/第七周/test_data.json,E:/八斗课程/第七周/nn_pipline/chars.txt,lstm,30,128,3,2,10,128,max,adam,0.001,E:\八斗课程\第六周\bert-base-chinese,987,2,4622,0.8869891576313594
20,output,E:/八斗课程/第七周/train_data.json,E:/八斗课程/第七周/test_data.json,E:/八斗课程/第七周/nn_pipline/chars.txt,lstm,30,128,3,2,10,64,avg,adam,0.0001,E:\八斗课程\第六周\bert-base-chinese,987,2,4622,0.8911592994161801
21,output,E:/八斗课程/第七周/train_data.json,E:/八斗课程/第七周/test_data.json,E:/八斗课程/第七周/nn_pipline/chars.txt,lstm,30,128,3,2,10,64,max,adam,0.0001,E:\八斗课程\第六周\bert-base-chinese,987,2,4622,0.890325271059216
22,output,E:/八斗课程/第七周/train_data.json,E:/八斗课程/第七周/test_data.json,E:/八斗课程/第七周/nn_pipline/chars.txt,lstm,30,128,3,2,10,128,avg,adam,0.0001,E:\八斗课程\第六周\bert-base-chinese,987,2,4622,0.8874061718098415
23,output,E:/八斗课程/第七周/train_data.json,E:/八斗课程/第七周/test_data.json,E:/八斗课程/第七周/nn_pipline/chars.txt,lstm,30,128,3,2,10,128,max,adam,0.0001,E:\八斗课程\第六周\bert-base-chinese,987,2,4622,0.8865721434528774
