Model,Learning_Rate,Hidden_Size,Batch_Size,Pooling_Style,Acc,Time_Cos,Epoch
bert,0.001,768,256,max,0.8669169795577806,28.95,10
bert,0.0001,768,256,max,0.8973717146433041,28.29,10
bert,0.001,768,256,avg,0.8556528994576554,28.61,10
bert,0.0001,768,256,avg,0.8756779307467668,28.51,10
rnn,0.001,256,256,max,0.8781810596579057,4.98,10
rnn,0.0001,256,256,max,0.8873591989987485,4.9,10
rnn,0.001,256,256,avg,0.8906967042136004,4.87,10
rnn,0.0001,256,256,avg,0.8652482269503546,4.91,10
cnn,0.001,256,256,max,0.8856904463913224,2.76,10
cnn,0.0001,256,256,max,0.885273258239466,2.75,10
cnn,0.001,256,256,avg,0.8752607425949103,2.73,10
cnn,0.0001,256,256,avg,0.8485607008760951,2.67,10
lstm,0.001,256,256,max,0.8840216937838965,7.9,10
lstm,0.0001,256,256,max,0.8886107634543179,7.83,10
lstm,0.001,256,256,avg,0.8777638715060492,7.87,10
lstm,0.0001,256,256,avg,0.8765123070504798,7.86,10
gru,0.001,256,256,max,0.8769294952023362,7.46,10
gru,0.0001,256,256,max,0.8894451397580309,7.45,10
gru,0.001,256,256,avg,0.8735919899874843,7.51,10
gru,0.0001,256,256,avg,0.886107634543179,7.97,10
fast_text,0.001,256,256,max,0.8690029203170629,2.25,10
fast_text,0.0001,256,256,max,0.738840216937839,2.38,10
fast_text,0.001,256,256,avg,0.8660826032540676,2.4,10
fast_text,0.0001,256,256,avg,0.6737588652482269,2.51,10
text_rnn,0.001,256,256,max,0.8877763871506049,8.54,10
text_rnn,0.0001,256,256,max,0.8856904463913224,8.26,10
text_rnn,0.001,256,256,avg,0.8823529411764706,8.29,10
text_rnn,0.0001,256,256,avg,0.8781810596579057,8.19,10
text_cnn,0.001,256,256,max,0.8923654568210263,2.93,10
text_cnn,0.0001,256,256,max,0.8811013767209012,2.87,10
text_cnn,0.001,256,256,avg,0.8785982478097623,2.82,10
text_cnn,0.0001,256,256,avg,0.8448060075093867,2.92,10
gated_cnn,0.001,256,256,max,0.884438881935753,3.7,10
gated_cnn,0.0001,256,256,max,0.8848560700876095,3.72,10
gated_cnn,0.001,256,256,avg,0.8848560700876095,3.65,10
gated_cnn,0.0001,256,256,avg,0.8548185231539425,3.67,10
text_rcnn,0.001,256,256,max,0.8811013767209012,10.24,10
text_rcnn,0.0001,256,256,max,0.8819357530246141,10.17,10
text_rcnn,0.001,256,256,avg,0.8840216937838965,10.13,10
text_rcnn,0.0001,256,256,avg,0.8840216937838965,10.22,10
stack_gated_cnn,0.001,256,256,max,0.8811013767209012,9.76,10
stack_gated_cnn,0.0001,256,256,max,0.8881935753024615,10.04,10
stack_gated_cnn,0.001,256,256,avg,0.8748435544430538,9.73,10
stack_gated_cnn,0.0001,256,256,avg,0.8719232373800584,9.74,10
bert_lstm,0.001,768,256,max,0.8740091781393409,43.37,10
bert_lstm,0.0001,768,256,max,0.8790154359616187,43.05,10
bert_lstm,0.001,768,256,avg,0.8740091781393409,42.6,10
bert_lstm,0.0001,768,256,avg,0.8748435544430538,42.55,10
bert_rnn,0.001,768,256,max,0.8723404255319149,40.1,10
bert_rnn,0.0001,768,256,max,0.8827701293283271,40.48,10
bert_rnn,0.001,768,256,avg,0.6662494785148102,39.88,10
bert_rnn,0.0001,768,256,avg,0.8765123070504798,40.03,10
bert_cnn,0.001,768,256,max,0.8811013767209012,34.51,10
bert_cnn,0.0001,768,256,max,0.886942010846892,34.66,10
bert_cnn,0.001,768,256,avg,0.8723404255319149,34.18,10
bert_cnn,0.0001,768,256,avg,0.869837296620776,34.22,10
bert_gcnn,0.001,768,256,max,0.8777638715060492,38.69,10
bert_gcnn,0.0001,768,256,max,0.884438881935753,38.96,10
bert_gcnn,0.001,768,256,avg,0.871506049228202,37.74,10
bert_gcnn,0.0001,768,256,avg,0.885273258239466,37.64,10
bert_mid_layer,0.001,768,256,max,0.8748435544430538,29.43,10
bert_mid_layer,0.0001,768,256,max,0.8931998331247393,29.65,10
bert_mid_layer,0.001,768,256,avg,0.8656654151022111,29.69,10
bert_mid_layer,0.0001,768,256,avg,0.8719232373800584,29.76,10
