模型	学习率	隐藏层大小	批大小	池化方式	准确率
gated_cnn	0.001000	128	64	avg	0.625000
gated_cnn	0.001000	128	64	max	0.675000
gated_cnn	0.001000	128	128	avg	0.633333
gated_cnn	0.001000	128	128	max	0.644444
gated_cnn	0.000100	128	64	avg	0.388889
gated_cnn	0.000100	128	64	max	0.441667
gated_cnn	0.000100	128	128	avg	0.338889
gated_cnn	0.000100	128	128	max	0.344444
bert	0.001000	128	64	avg	0.775000
bert	0.001000	128	64	max	0.805556
bert	0.001000	128	128	avg	0.766667
bert	0.001000	128	128	max	0.800000
bert	0.000100	128	64	avg	0.791667
bert	0.000100	128	64	max	0.780556
bert	0.000100	128	128	avg	0.777778
bert	0.000100	128	128	max	0.797222
lstm	0.001000	128	64	avg	0.538889
lstm	0.001000	128	64	max	0.558333
lstm	0.001000	128	128	avg	0.552778
lstm	0.001000	128	128	max	0.619444
lstm	0.000100	128	64	avg	0.363889
lstm	0.000100	128	64	max	0.313889
lstm	0.000100	128	128	avg	0.216667
lstm	0.000100	128	128	max	0.169444
