,model_path,train_data_path,valid_data_path,vocab_path,model_type,max_length,hidden_size,kernel_size,num_layers,epoch,batch_size,pooling_style,optimizer,learning_rate,pretrain_model_path,seed,class_num,vocab_size,acc
0,output,train_data.json,test_data.json,chars.txt,gated_cnn,30,128,3,2,10,64,avg,adam,0.001,bert-base-chinese,987,2,4622,0.8878231859883235
1,output,train_data.json,test_data.json,chars.txt,gated_cnn,30,128,3,2,10,64,max,adam,0.001,bert-base-chinese,987,2,4622,0.8974145120934112
2,output,train_data.json,test_data.json,chars.txt,gated_cnn,30,128,3,2,10,128,avg,adam,0.001,bert-base-chinese,987,2,4622,0.890742285237698
3,output,train_data.json,test_data.json,chars.txt,gated_cnn,30,128,3,2,10,128,max,adam,0.001,bert-base-chinese,987,2,4622,0.890742285237698
4,output,train_data.json,test_data.json,chars.txt,gated_cnn,30,128,3,2,10,64,avg,adam,0.0001,bert-base-chinese,987,2,4622,0.8757297748123436
5,output,train_data.json,test_data.json,chars.txt,gated_cnn,30,128,3,2,10,64,max,adam,0.0001,bert-base-chinese,987,2,4622,0.8957464553794829
6,output,train_data.json,test_data.json,chars.txt,gated_cnn,30,128,3,2,10,128,avg,adam,0.0001,bert-base-chinese,987,2,4622,0.8711426188490409
7,output,train_data.json,test_data.json,chars.txt,gated_cnn,30,128,3,2,10,128,max,adam,0.0001,bert-base-chinese,987,2,4622,0.8932443703085905
8,output,train_data.json,test_data.json,chars.txt,fast_text,30,128,3,2,10,64,avg,adam,0.001,bert-base-chinese,987,2,4622,0.8874061718098415
9,output,train_data.json,test_data.json,chars.txt,fast_text,30,128,3,2,10,64,max,adam,0.001,bert-base-chinese,987,2,4622,0.8807339449541285
10,output,train_data.json,test_data.json,chars.txt,fast_text,30,128,3,2,10,128,avg,adam,0.001,bert-base-chinese,987,2,4622,0.8886572143452878
11,output,train_data.json,test_data.json,chars.txt,fast_text,30,128,3,2,10,128,max,adam,0.001,bert-base-chinese,987,2,4622,0.8690575479566305
12,output,train_data.json,test_data.json,chars.txt,fast_text,30,128,3,2,10,64,avg,adam,0.0001,bert-base-chinese,987,2,4622,0.8090075062552127
13,output,train_data.json,test_data.json,chars.txt,fast_text,30,128,3,2,10,64,max,adam,0.0001,bert-base-chinese,987,2,4622,0.7910758965804837
14,output,train_data.json,test_data.json,chars.txt,fast_text,30,128,3,2,10,128,avg,adam,0.0001,bert-base-chinese,987,2,4622,0.7702251876563804
15,output,train_data.json,test_data.json,chars.txt,fast_text,30,128,3,2,10,128,max,adam,0.0001,bert-base-chinese,987,2,4622,0.6793160967472894
16,output,train_data.json,test_data.json,chars.txt,lstm,30,128,3,2,10,64,avg,adam,0.001,bert-base-chinese,987,2,4622,0.8765638031693077
17,output,train_data.json,test_data.json,chars.txt,lstm,30,128,3,2,10,64,max,adam,0.001,bert-base-chinese,987,2,4622,0.8711426188490409
18,output,train_data.json,test_data.json,chars.txt,lstm,30,128,3,2,10,128,avg,adam,0.001,bert-base-chinese,987,2,4622,0.8773978315262719
19,output,train_data.json,test_data.json,chars.txt,lstm,30,128,3,2,10,128,max,adam,0.001,bert-base-chinese,987,2,4622,0.8853211009174312
20,output,train_data.json,test_data.json,chars.txt,lstm,30,128,3,2,10,64,avg,adam,0.0001,bert-base-chinese,987,2,4622,0.8894912427022519
21,output,train_data.json,test_data.json,chars.txt,lstm,30,128,3,2,10,64,max,adam,0.0001,bert-base-chinese,987,2,4622,0.8844870725604671
22,output,train_data.json,test_data.json,chars.txt,lstm,30,128,3,2,10,128,avg,adam,0.0001,bert-base-chinese,987,2,4622,0.8878231859883235
23,output,train_data.json,test_data.json,chars.txt,lstm,30,128,3,2,10,128,max,adam,0.0001,bert-base-chinese,987,2,4622,0.8919933277731443
