Model,Learning_Rate,Hidden_Size,pooling_style,acc,avg_cost
gated_cnn,0.001,128,avg,0.8753127606338615,0.1330391724904378
gated_cnn,0.001,128,max,0.878231859883236,0.1305954138437907
gated_cnn,0.001,128,avg,0.8832360300250208,0.12277806599934896
gated_cnn,0.001,128,max,0.8894912427022519,0.11833771069844563
gated_cnn,1e-05,128,avg,0.7326939115929941,0.12496083577473958
gated_cnn,1e-05,128,max,0.8557130942452044,0.12577524185180664
gated_cnn,1e-05,128,avg,0.7080900750625522,0.11806170145670573
gated_cnn,1e-05,128,max,0.8131776480400333,0.12040316263834636
bert,0.001,128,avg,0.8690575479566305,0.4940069039662679
bert,0.001,128,max,0.7472894078398665,0.4918022314707438
bert,0.001,128,avg,0.8653044203502919,0.4719021002451579
bert,0.001,128,max,0.8611342785654712,0.4737590789794922
bert,1e-05,128,avg,0.8853211009174312,0.48895835876464844
bert,1e-05,128,max,0.896163469557965,0.49105544090270997
bert,1e-05,128,avg,0.8890742285237698,0.47656399408976235
bert,1e-05,128,max,0.8940783986655546,0.473314094543457
lstm,0.001,128,avg,0.8886572143452878,0.15155391693115233
lstm,0.001,128,max,0.8732276897414513,0.15234257380167643
lstm,0.001,128,avg,0.8861551292743953,0.14621763229370116
lstm,0.001,128,max,0.872393661384487,0.1451122760772705
lstm,1e-05,128,avg,0.8294412010008341,0.15435811678568523
lstm,1e-05,128,max,0.8281901584653878,0.15416711171468098
lstm,1e-05,128,avg,0.6663886572143453,0.1476432164510091
lstm,1e-05,128,max,0.7839866555462885,0.14910511970520018
