Model,acc,hidden_size,batch_size,pooling_style,learning
bert,0.88851821,128,128,max,0.0001
gated_cnn,0.887684181,128,64,max,0.0001
gated_cnn,0.885182096,128,128,max,0.0001
bert,0.885182096,128,64,max,0.0001
lstm,0.883792049,128,128,avg,0.0001
lstm,0.881289964,128,128,max,0.0001
lstm,0.879621907,128,64,max,0.0001
gated_cnn,0.877119822,128,64,avg,0.0001
gated_cnn,0.876563803,128,128,max,0.001
gated_cnn,0.875173756,128,64,max,0.001
bert,0.874617737,128,64,avg,0.0001
lstm,0.872671671,128,64,max,0.001
lstm,0.872671671,128,64,avg,0.0001
lstm,0.870169586,128,128,max,0.001
gated_cnn,0.869891576,128,64,avg,0.001
gated_cnn,0.86822352,128,128,avg,0.001
gated_cnn,0.865165416,128,128,avg,0.0001
lstm,0.864887406,128,128,avg,0.001
bert,0.864331387,128,128,avg,0.0001
lstm,0.860995274,128,64,avg,0.001
bert,0.859883236,128,128,max,0.001
bert,0.858215179,128,128,avg,0.001
bert,0.85793717,128,64,max,0.001
bert,0.854879066,128,64,avg,0.001
